"simulation","method","lambda","rank","effective_rank","rmse","converged"
3,"SoftImpute (oracle)",1,7,7,0.300197791831625,NA
3,"SoftImpute (oracle)",1,8,8,0.323167474951757,NA
3,"SoftImpute (oracle)",1,9,9,0.344255225576622,NA
3,"SoftImpute (oracle)",1,10,10,0.363927076031773,NA
3,"SoftImpute (oracle)",1,11,11,0.382578744716097,NA
3,"SoftImpute (oracle)",1,12,12,0.400178301910664,NA
3,"SoftImpute (oracle)",1,13,13,0.416681583861362,NA
3,"SoftImpute (oracle)",1,14,14,0.432581367816147,NA
3,"SoftImpute (oracle)",1,15,15,0.447528730882026,NA
3,"SoftImpute (oracle)",1,16,16,0.46184949105132,NA
3,"SoftImpute (oracle)",1,17,17,0.475671761173574,NA
3,"SoftImpute (oracle)",1,18,18,0.489086900579271,NA
3,"SoftImpute (oracle)",1,19,19,0.501997521762913,NA
3,"SoftImpute (oracle)",1,20,20,0.514551187720975,NA
3,"SoftImpute (oracle)",1,21,21,0.526726937038134,NA
3,"SoftImpute (oracle)",1,22,22,0.53854818732541,NA
3,"SoftImpute (oracle)",1,23,23,0.549995195070442,NA
3,"SoftImpute (oracle)",1,24,24,0.561138361009334,NA
3,"SoftImpute (oracle)",1,25,25,0.571863392562338,NA
3,"SoftImpute (oracle)",1,26,26,0.582316951961488,NA
3,"SoftImpute (oracle)",1,27,27,0.592532410381813,NA
3,"SoftImpute (oracle)",1,28,28,0.602483119845303,NA
3,"SoftImpute (oracle)",1,29,29,0.612225692194387,NA
3,"SoftImpute (oracle)",1,30,30,0.621726967896222,NA
4,"PCA (oracle)",NA,0,0,0.785874378347808,NA
4,"PCA (oracle)",NA,1,1,0.514718536548664,NA
4,"PCA (oracle)",NA,2,2,0.354674085507424,NA
4,"PCA (oracle)",NA,3,3,0.17711957181939,NA
4,"PCA (oracle)",NA,4,4,0.216947378506248,NA
4,"PCA (oracle)",NA,5,5,0.249795041024798,NA
4,"PCA (oracle)",NA,6,6,0.278581352156585,NA
4,"PCA (oracle)",NA,7,7,0.304072705722998,NA
4,"PCA (oracle)",NA,8,8,0.327461303923871,NA
4,"PCA (oracle)",NA,9,9,0.349224006649946,NA
4,"PCA (oracle)",NA,10,10,0.369343304778643,NA
4,"PCA (oracle)",NA,11,11,0.388372464785022,NA
