"simulation","method","n_components","selected_rank","effective_rank","rmse","elbo","lambda","raw_rmse","rmse_gain","relative_rmse_gain"
16,"SoftImpute (oracle)",3,3,3,0.172603461048738,NA,1,1.25100955937666,1.07840609832792,0.862028663366296
17,"No denoising (Z)",NA,NA,NA,1.25160444494173,NA,NA,1.25160444494173,0,0
17,"EBMF= GB+pt Laplace",6,6,6,0.103543477404087,-332061.165096656,NA,1.25160444494173,1.14806096753764,0.91727140485754
17,"cEBMF= cGB + pt Normal",10,10,10,0.0850373552648737,NA,NA,1.25160444494173,1.16656708967686,0.932057324014351
17,"PCA (oracle)",3,3,3,0.173539066219112,NA,NA,1.25160444494173,1.07806537872262,0.861346716272495
17,"ICA (oracle)",3,3,3,0.173539066219112,NA,NA,1.25160444494173,1.07806537872262,0.861346716272495
17,"SoftImpute (oracle)",3,3,3,0.172664356385398,NA,1,1.25160444494173,1.07894008855633,0.862045587099656
18,"No denoising (Z)",NA,NA,NA,1.25236953033073,NA,NA,1.25236953033073,0,0
18,"EBMF= GB+pt Laplace",6,6,6,0.106993698123001,-332150.131694184,NA,1.25236953033073,1.14537583220773,0.914566990387617
18,"cEBMF= cGB + pt Normal",10,10,10,0.0780616187865181,NA,NA,1.25236953033073,1.17430791154421,0.937668861389575
18,"PCA (oracle)",3,3,3,0.173103524897586,NA,NA,1.25236953033073,1.07926600543315,0.86177919479415
18,"ICA (oracle)",3,3,3,0.173103524897586,NA,NA,1.25236953033073,1.07926600543315,0.86177919479415
18,"SoftImpute (oracle)",3,3,3,0.172323281344232,NA,1,1.25236953033073,1.0800462489865,0.862402208636676
19,"No denoising (Z)",NA,NA,NA,1.25169868220261,NA,NA,1.25169868220261,0,0
19,"EBMF= GB+pt Laplace",6,6,6,0.23439281303669,-331217.381388489,NA,1.25169868220261,1.01730586916592,0.812740225447686
19,"cEBMF= cGB + pt Normal",10,10,10,0.0860666668134739,NA,NA,1.25169868220261,1.16563201538914,0.931240107513717
19,"PCA (oracle)",3,3,3,0.17847839712817,NA,NA,1.25169868220261,1.07322028507444,0.857411052942788
19,"ICA (oracle)",3,3,3,0.17847839712817,NA,NA,1.25169868220261,1.07322028507444,0.857411052942789
19,"SoftImpute (oracle)",3,3,3,0.177570337449271,NA,1,1.25169868220261,1.07412834475334,0.858136514822561
20,"No denoising (Z)",NA,NA,NA,1.24948186222986,NA,NA,1.24948186222986,0,0
20,"EBMF= GB+pt Laplace",6,6,6,0.113592490803665,-331200.528611873,NA,1.24948186222986,1.1358893714262,0.909088323538411
20,"cEBMF= cGB + pt Normal",10,10,10,0.0787228910148901,NA,NA,1.24948186222986,1.17075897121497,0.936995571208694
20,"PCA (oracle)",3,3,3,0.178493220540617,NA,NA,1.24948186222986,1.07098864168925,0.857146209211815
20,"ICA (oracle)",3,3,3,0.178493220540617,NA,NA,1.24948186222986,1.07098864168925,0.857146209211815
20,"SoftImpute (oracle)",3,3,3,0.177709067404948,NA,1,1.24948186222986,1.07177279482492,0.857773791859769
21,"No denoising (Z)",NA,NA,NA,1.25151738908103,NA,NA,1.25151738908103,0,0
21,"EBMF= GB+pt Laplace",7,7,7,0.112402224113107,-332335.171486214,NA,1.25151738908103,1.13911516496792,0.910187245424019
