"simulation","method","n_components","selected_rank","effective_rank","rmse","elbo","lambda","raw_rmse","rmse_gain","relative_rmse_gain"
3,"SoftImpute (oracle)",3,3,3,0.176314435621686,NA,1,1.25131692575036,1.07500249012868,0.85909689864064
4,"No denoising (Z)",NA,NA,NA,1.25517440552381,NA,NA,1.25517440552381,0,0
4,"EBMF= GB+pt Laplace",5,5,5,0.149733867610922,-331298.365751754,NA,1.25517440552381,1.10544053791289,0.880706723343013
4,"cEBMF= cGB + pt Normal",10,10,10,0.0828747826071927,NA,NA,1.25517440552381,1.17229962291662,0.933973492255359
4,"PCA (oracle)",3,3,3,0.177453865832659,NA,NA,1.25517440552381,1.07772053969116,0.858622144419362
4,"ICA (oracle)",3,3,3,0.177453865832659,NA,NA,1.25517440552381,1.07772053969116,0.858622144419362
4,"SoftImpute (oracle)",3,3,3,0.176612150741141,NA,1,1.25517440552381,1.07856225478267,0.859292740543545
5,"No denoising (Z)",NA,NA,NA,1.25136514650578,NA,NA,1.25136514650578,0,0
5,"EBMF= GB+pt Laplace",6,6,6,0.125182083993478,-330931.573704739,NA,1.25136514650578,1.1261830625123,0.899963584295897
5,"cEBMF= cGB + pt Normal",10,10,10,0.0805059246623553,NA,NA,1.25136514650578,1.17085922184343,0.935665521061415
5,"PCA (oracle)",3,3,3,0.176677377307789,NA,NA,1.25136514650578,1.07468776919799,0.858812291679108
5,"ICA (oracle)",3,3,3,0.176677377307789,NA,NA,1.25136514650578,1.07468776919799,0.858812291679108
5,"SoftImpute (oracle)",3,3,3,0.175851955141472,NA,1,1.25136514650578,1.07551319136431,0.859471909032701
6,"No denoising (Z)",NA,NA,NA,1.24868004928427,NA,NA,1.24868004928427,0,0
6,"EBMF= GB+pt Laplace",5,5,5,0.15548564292858,-330207.130045918,NA,1.24868004928427,1.09319440635569,0.875479997443939
6,"cEBMF= cGB + pt Normal",10,10,10,0.0787504092384778,NA,NA,1.24868004928427,1.16992964004579,0.936933076424488
6,"PCA (oracle)",3,3,3,0.176995418271805,NA,NA,1.24868004928427,1.07168463101246,0.858253987181699
6,"ICA (oracle)",3,3,3,0.176995418271804,NA,NA,1.24868004928427,1.07168463101246,0.858253987181699
